key	accession	kh_index	organism	domain_of_life	protein_name	entry_name	domain_start	domain_end	seq_length	has_pdb	source_group
P50849_KH1	P50849	1	Bacillus subtilis (strain 168)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_BACSU	554	613	60		Firmicutes
Q2FZ08_KH1	Q2FZ08	1	Staphylococcus aureus (strain NCTC 8325 / PS 47)	Bacteria	Ribonuclease Y	RNY_STAA8	209	269	61		Firmicutes
Q5X9W0_KH1	Q5X9W0	1	Streptococcus pyogenes serotype M6 (strain ATCC BAA-946 / MGAS10394)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_STRP6	556	615	60		Firmicutes
A0QVQ5_KH1	A0QVQ5	1	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_MYCS2	592	651	60		Actinobacteria
A0LV20_KH1	A0LV20	1	Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_ACIC1	580	639	60		Actinobacteria
P72659_KH1	P72659	1	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_SYNY3	564	623	60		Cyanobacteria
Q8YP11_KH1	Q8YP11	1	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_NOSS1	563	622	60		Cyanobacteria
B4U6R7_KH1	B4U6R7	1	Hydrogenobaculum sp. (strain Y04AAS1)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_HYDS0	549	607	59		Aquificae
C0QTM3_KH1	C0QTM3	1	Persephonella marina (strain DSM 14350 / EX-H1)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_PERMH	557	616	60		Aquificae
Q5SJ75_KH1	Q5SJ75	1	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_THET8	565	631	67		Thermotogae
C1CXB5_KH1	C1CXB5	1	Deinococcus deserti (strain DSM 17065 / CIP 109153 / LMG 22923 / VCD115)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_DEIDV	557	623	67		Thermotogae
A8Z660_KH1	A8Z660	1	Karelsulcia muelleri (strain GWSS)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_KARMG	576	638	63		Bacteroidetes
B3EU51_KH1	B3EU51	1	Amoebophilus asiaticus (strain 5a2)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_AMOA5	561	623	63		Bacteroidetes
A1R0N0_KH1	A1R0N0	1	Borrelia turicatae (strain 91E135)	Bacteria	Polyribonucleotide nucleotidyltransferase	PNP_BORT9	553	612	60		Spirochaetes
Q9VCA8_KH1	Q9VCA8	1	Drosophila melanogaster	Eukaryota	Ankyrin repeat and KH domain-containing protein mask	ANKHM_DROME	3036	3100	65		Arthropoda
P06105_KH1	P06105	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Eukaryota	Protein SCP160	SC160_YEAST	177	249	73		Fungi
O74919_KH1	O74919	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Eukaryota	RNA-binding protein rnc1	RNC1_SCHPO	93	157	65		Fungi
C5DIR2_KH1	C5DIR2	1	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284)	Eukaryota	Heterogeneous nuclear rnp K-like protein 2	HEK2_LACTC	9	73	65		Fungi
F4KDN0_KH1	F4KDN0	1	Arabidopsis thaliana	Eukaryota	KH domain-containing protein HEN4	HEN4_ARATH	46	110	65		Embryophyta
