pfam_id	age_class	rna_go	rna_rbpworld	rna_union	dna_binding	in_green51	in_universal415
PF00208	preLUCA	False	False	False	False	False	False
PF00209	LBCA	False	False	False	False	False	False
PF00210	LUCA	False	False	False	False	False	False
PF00211	LUCA	False	False	False	False	False	False
PF00213	LBCA	False	False	False	False	False	False
PF00215	LUCA	False	False	False	False	False	False
PF00216	LBCA	False	False	False	True	False	True
PF00217	post-LBCA	False	False	False	False	False	False
PF00218	LBCA	False	False	False	False	False	False
PF00221	LBCA	False	False	False	False	False	False
PF00223	Terrabacteria	False	False	False	False	False	False
PF00224	LUCA	False	False	False	False	False	False
PF00226	LUCA	False	False	False	False	False	False
PF00227	LBCA	False	False	False	False	False	False
PF00230	LUCA	False	False	False	False	False	False
PF00231	LBCA	False	False	False	False	False	False
PF00232	LBCA	False	False	False	False	False	False
PF00237	LACA	True	True	True	False	False	False
PF00238	LACA	True	True	True	False	False	False
PF00239	unclassifiable	False	False	False	True	False	True
PF00242		False	False	False	True	False	False
PF00245	LBCA	False	False	False	False	False	False
PF00246	LUCA	False	False	False	False	False	False
PF00248	LUCA	False	False	False	False	False	False
PF00250		False	False	False	True	False	False
PF00251	LBCA	False	False	False	False	False	False
PF00252	LACA	False	True	True	False	False	False
PF00253	Inspect	True	True	True	False	False	False
PF00254	LBCA	False	False	False	False	False	False
PF00255	post-LBCA	False	False	False	False	False	False
PF00258	LBCA	False	False	False	False	False	False
PF00260		False	False	False	True	False	False
PF00261		False	True	True	False	False	False
PF00262		True	True	True	False	False	False
PF00263	LBCA	False	False	False	False	False	False
PF00264	LBCA	False	False	False	False	False	False
PF00265	LBCA	False	False	False	False	False	False
PF00266	preLUCA	False	False	False	False	False	False
PF00267	Proteobacteria	False	False	False	False	False	False
PF00268	LBCA	False	False	False	False	False	False
PF00269	Terrabacteria	False	False	False	True	False	False
PF00270	LUCA	True	True	True	False	False	True
PF00271	preLUCA	False	False	False	False	False	False
PF00274	LBCA	False	False	False	False	False	False
PF00275	LBCA	False	False	False	False	False	False
PF00276	LBCA	True	True	True	False	False	False
PF00278	LUCA	False	False	False	False	False	False
PF00281	CPR	False	True	True	False	False	False
PF00282	LUCA	False	False	False	False	False	False
PF00283	Terrabacteria	False	False	False	False	False	False
PF00284	Terrabacteria	False	False	False	False	False	False
PF00285	Inspect	False	False	False	False	False	False
PF00288	LUCA	False	False	False	False	False	False
PF00289	unclassifiable	False	False	False	False	False	False
PF00290	LUCA	False	False	False	False	False	False
PF00291	LUCA	False	False	False	False	False	False
PF00292		False	False	False	True	False	True
PF00293	LUCA	False	False	False	False	False	False
PF00294	LUCA	False	False	False	False	False	False
PF00295	LBCA	False	False	False	False	False	False
PF00296	LBCA	False	False	False	False	False	False
PF00297	LACA	True	True	True	False	False	False
PF00298	LBCA	True	True	True	False	False	False
PF00300	LUCA	False	False	False	False	False	False
PF00301	LBCA	False	False	False	False	False	False
PF00302	LBCA	False	False	False	False	False	False
PF00303	LBCA	False	False	False	False	False	False
PF00305	post-LBCA	False	False	False	False	False	False
PF00306	CPR	False	False	False	False	False	False
PF00308	LBCA	False	False	False	False	False	False
PF00309	post-LBCA	False	False	False	False	False	False
PF00310	unclassifiable	False	False	False	False	False	False
PF00311	LBCA	False	False	False	False	False	False
PF00312	Inspect	True	True	True	False	False	False
PF00313	unclassifiable	True	True	True	False	False	True
PF00314	post-LBCA	False	False	False	False	False	False
PF00316	LBCA	False	False	False	False	False	False
PF00317	LBCA	False	False	False	False	False	False
PF00318	LACA	True	True	True	False	False	False
PF00319		False	False	False	True	False	True
PF00320		False	False	False	True	False	False
PF00324	LUCA	False	False	False	False	False	False
PF00325	LBCA	False	False	False	True	False	True
PF00326	LUCA	False	False	False	False	False	False
PF00327	Inspect	False	True	True	False	False	False
PF00328	post-LBCA	False	False	False	False	False	False
PF00329	unclassifiable	False	False	False	False	False	False
PF00330	LUCA	False	True	True	False	False	False
PF00331	LBCA	False	False	False	False	False	False
PF00332	post-LBCA	False	False	False	False	False	False
PF00333	Inspect	True	True	True	False	False	True
PF00334	Terrabacteria	False	False	False	False	False	False
PF00338	LACA	False	True	True	False	False	False
PF00342	LBCA	False	False	False	False	False	False
PF00343	unclassifiable	False	False	False	False	False	False
PF00344	Inspect	False	False	False	False	False	False
PF00345	post-LBCA	False	False	False	False	False	False
PF00346	LUCA	False	False	False	False	False	False
PF00347	LUCA	True	True	True	False	False	False
PF00348	LBCA	False	False	False	False	False	False
PF00349	unclassifiable	False	False	False	False	False	False
PF00350	unclassifiable	False	False	False	False	False	False
PF00351	LBCA	False	False	False	False	False	False
PF00352	Euryarchaeota	False	False	False	True	False	True
PF00353	LBCA	False	False	False	False	False	False
PF00355	LUCA	False	False	False	False	False	False
PF00356	LBCA	False	False	False	True	True	True
PF00358	post-LBCA	False	False	False	False	False	False
PF00359	LBCA	False	False	False	False	False	False
PF00360	LBCA	False	False	False	False	False	False
PF00361	LUCA	False	False	False	False	False	False
PF00364	preLUCA	False	False	False	False	False	False
PF00365	LBCA	False	False	False	False	False	False
PF00366	LBCA	True	True	True	False	False	False
PF00367	post-LBCA	False	False	False	False	False	False
PF00368	LUCA	False	False	False	False	False	False
PF00370	LUCA	False	False	False	False	False	False
PF00374	preLUCA	False	False	False	False	False	False
PF00375	LBCA	False	False	False	False	False	False
PF00376	LBCA	False	False	False	True	False	True
PF00378	LBCA	False	False	False	False	False	False
PF00380	Inspect	True	True	True	False	False	False
PF00381	LBCA	False	False	False	False	False	False
PF00382	LACA	False	False	False	False	False	False
PF00383	LUCA	False	False	False	False	False	False
PF00384	LUCA	False	False	False	False	False	False
PF00388	LBCA	False	False	False	False	False	False
PF00389	LUCA	False	False	False	False	False	False
PF00390	LBCA	False	False	False	False	False	False
PF00391	LUCA	False	False	False	False	False	False
PF00392	LBCA	False	False	False	False	False	False
PF00393	LBCA	False	False	False	False	False	False
PF00394	LBCA	False	False	False	False	False	False
PF00395	LBCA	False	False	False	False	False	False
PF00398	LUCA	False	True	True	False	False	False
PF00400	LUCA	False	False	False	False	False	False
PF00401	post-LBCA	False	False	False	False	False	False
PF00403	unclassifiable	False	False	False	False	False	False
PF00404	LBCA	False	False	False	False	False	False
PF00406	LBCA	False	False	False	False	False	False
PF00408	LBCA	False	False	False	False	False	False
PF00410	post-LBCA	True	True	True	False	False	False
PF00411	Inspect	True	True	True	False	False	False
PF00413	LUCA	False	False	False	False	False	False
PF00415	LBCA	False	False	False	False	False	False
PF00416	LACA	True	True	True	False	False	True
PF00419	Proteobacteria	False	False	False	False	False	False
PF00420	LUCA	False	False	False	False	False	False
PF00421	Terrabacteria	False	False	False	False	False	False
PF00425	LBCA	False	False	False	False	False	False
PF00427	Terrabacteria	False	False	False	False	False	False
PF00428	LACA	False	True	True	False	False	False
PF00430	LBCA	False	False	False	False	False	False
PF00431	unclassifiable	False	False	False	False	False	False
PF00432	LBCA	False	False	False	False	False	False
PF00436	LBCA	False	False	False	True	False	False
PF00437	LUCA	False	False	False	False	False	False
PF00438	LUCA	False	False	False	False	False	False
PF00440	unclassifiable	False	False	False	True	True	True
PF00441	LUCA	False	False	False	False	False	False
PF00444	LBCA	True	True	True	False	False	False
PF00445	post-LBCA	True	True	True	False	False	False
PF00447		False	False	False	True	False	False
PF00448	LUCA	True	True	True	False	False	False
PF00449	LBCA	False	False	False	False	False	False
PF00450	post-LBCA	False	False	False	False	False	False
PF00453	post-LBCA	True	True	True	False	False	False
PF00455	LBCA	False	False	False	False	False	False
PF00456	LUCA	False	False	False	False	False	False
PF00457	LBCA	False	False	False	False	False	False
PF00459	LUCA	False	False	False	False	False	False
PF00460	LBCA	False	False	False	False	False	False
PF00462	LBCA	False	False	False	False	False	False
PF00463	Proteobacteria	False	False	False	False	False	False
PF00464	LUCA	False	False	False	False	False	False
PF00465	LUCA	False	False	False	False	False	False
PF00466	LUCA	False	True	True	False	False	False
PF00467	LACA	False	True	True	False	False	False
PF00468	LBCA	True	True	True	False	False	False
PF00471	LBCA	True	True	True	False	False	False
PF00472	LBCA	True	True	True	False	False	False
PF00474	LBCA	False	False	False	False	False	False
PF00475	unclassifiable	False	False	False	False	False	False
PF00476	unclassifiable	False	False	False	True	False	True
PF00478	LUCA	False	False	False	False	False	False
PF00479	LBCA	False	False	False	False	False	False
PF00480	LBCA	False	False	False	False	False	False
PF00481	LBCA	False	False	False	False	False	False
PF00482	LACA	False	False	False	False	False	False
PF00483	LUCA	False	False	False	False	False	False
PF00484	LUCA	False	False	False	False	False	False
PF00485	LBCA	False	False	False	False	False	False
PF00486	LBCA	False	False	False	True	False	True
PF00487	LBCA	False	False	False	False	False	False
PF00488	LUCA	False	False	False	True	False	False
PF00490	LBCA	False	False	False	False	False	False
PF00491	LUCA	False	False	False	False	False	False
PF00493	unclassifiable	False	False	False	True	False	True
PF00494	LBCA	False	False	False	False	False	False
PF00496	LUCA	False	False	False	False	False	False
PF00497	unclassifiable	False	False	False	False	False	False
PF00498	LBCA	False	False	False	False	False	False
PF00499	LBCA	False	False	False	False	False	False
PF00501	LUCA	False	False	False	False	False	False
PF00502	Terrabacteria	False	False	False	False	False	False
PF00504	Terrabacteria	False	False	False	False	False	False
PF00507	LACA	False	False	False	False	False	False
PF00510	LUCA	False	False	False	False	False	False
PF00511		False	False	False	True	False	False
PF00512	unclassifiable	False	False	False	False	False	False
PF00515	LUCA	False	False	False	False	False	False
PF00519		False	False	False	True	False	False
PF00520	LBCA	False	False	False	False	False	False
PF00521	LBCA	False	False	False	True	False	True
PF00527		False	False	False	True	False	False
PF00528	LUCA	False	False	False	False	False	False
PF00529	LBCA	False	False	False	False	False	False
PF00532	LBCA	False	False	False	False	False	False
PF00533	LBCA	False	False	False	False	False	False
PF00534	preLUCA	False	False	False	False	False	False
PF00535	preLUCA	False	False	False	False	False	False
PF00536	Proteobacteria	False	False	False	False	False	False
PF00538		False	False	False	True	False	True
PF00542	LBCA	True	True	True	False	False	False
PF00543	Inspect	False	False	False	False	False	False
PF00544	LBCA	False	False	False	False	False	False
PF00545	LBCA	True	True	True	False	False	True
PF00547	LBCA	False	False	False	False	False	False
PF00549	LUCA	False	False	False	False	False	False
PF00550	LBCA	False	False	False	False	False	False
PF00551	LUCA	False	False	False	False	False	False
PF00553	post-LBCA	False	False	False	False	False	False
PF00554		False	False	False	True	False	True
PF00556	unclassifiable	False	False	False	False	False	False
PF00557	LUCA	False	False	False	False	False	False
PF00560	LBCA	False	False	False	False	False	False
PF00561	preLUCA	False	False	False	False	False	False
PF00562	Inspect	True	True	True	True	False	True
PF00563	LBCA	False	False	False	False	False	False
PF00565	LUCA	False	True	True	False	False	False
PF00567		False	True	True	False	False	False
PF00570	LBCA	True	True	True	False	False	True
PF00571	LBCA	False	False	False	False	False	False
PF00572	Inspect	True	True	True	False	False	False
PF00573	LUCA	True	True	True	False	False	False
PF00574	LBCA	False	False	False	False	False	False
PF00575	LUCA	True	True	True	False	False	True
PF00576	post-LBCA	False	False	False	False	False	False
PF00577	post-LBCA	False	False	False	False	False	False
PF00578	preLUCA	False	False	False	False	False	False
PF00579	LUCA	True	True	True	False	False	False
PF00580	LUCA	True	True	True	False	False	False
PF00581	LUCA	False	False	False	False	False	False
PF00582	LUCA	False	False	False	False	False	False
PF00583	preLUCA	False	False	False	False	False	False
PF00584	Inspect	False	False	False	False	False	False
PF00585	LBCA	False	False	False	False	False	False
PF00586	preLUCA	False	False	False	False	False	False
PF00587	preLUCA	True	True	True	False	False	False
PF00588	LUCA	True	True	True	False	False	True
PF00589	LUCA	False	False	False	True	False	True
PF00590	LUCA	False	False	False	False	False	False
PF00591	LUCA	False	False	False	False	False	False
PF00593	LBCA	False	False	False	False	False	False
PF00595	unclassifiable	False	False	False	False	False	False
PF00596	LUCA	False	False	False	False	False	False
PF00598		True	False	True	False	False	False
PF00600		True	False	True	False	False	False
PF00602		True	False	True	False	False	False
PF00603		True	False	True	False	False	False
PF00605		False	False	False	True	False	False
PF00614	post-LBCA	False	False	False	False	False	False
PF00622		False	True	True	False	False	False
PF00623	Inspect	True	True	True	True	False	True
PF00625	post-LBCA	False	False	False	False	False	False
PF00629	FCB	False	False	False	False	False	False
PF00633	LUCA	False	False	False	True	False	False
PF00636	unclassifiable	True	True	True	False	False	False
PF00639	LBCA	False	False	False	False	False	False
PF00641		False	True	True	False	False	False
PF00642		True	True	True	False	False	False
PF00644		True	True	True	False	False	False
PF00645		False	False	False	True	False	True
PF00646	post-LBCA	False	False	False	False	False	False
PF00647		True	True	True	False	False	False
PF00648	LBCA	False	False	False	False	False	False
PF00649		False	False	False	True	False	False
PF00652	post-LBCA	False	False	False	False	False	False
PF00654	LUCA	False	False	False	False	False	False
PF00656	unclassifiable	False	False	False	False	False	False
PF00657	LBCA	False	False	False	False	False	False
PF00658		True	True	True	False	False	True
PF00662	LUCA	False	False	False	False	False	False
PF00664	LBCA	False	False	False	False	False	False
PF00665	LUCA	False	False	False	False	False	False
PF00667	LBCA	False	False	False	False	False	False
PF00668	LBCA	False	False	False	False	False	False
PF00669	LBCA	False	False	False	False	False	False
PF00670	LBCA	False	False	False	False	False	False
PF00672	LUCA	False	False	False	False	False	False
PF00673	Inspect	False	True	True	False	False	False
PF00675	LBCA	False	False	False	False	False	False
PF00676	LBCA	False	False	False	False	False	False
PF00677	LBCA	False	False	False	False	False	False
PF00679	LBCA	False	False	False	False	False	False
PF00680		True	True	True	False	False	True
PF00682	LUCA	False	False	False	False	False	False
PF00684	LUCA	False	False	False	False	False	False
PF00685	LBCA	False	False	False	False	False	False
PF00686	LBCA	False	False	False	False	False	False
PF00687	LACA	False	True	True	False	False	False
PF00689	LUCA	False	False	False	False	False	False
PF00690	preLUCA	False	False	False	False	False	False
PF00691	LBCA	False	False	False	False	False	False
PF00692	LUCA	False	False	False	False	False	False
PF00694	LBCA	False	True	True	False	False	False
PF00696	LUCA	False	False	False	False	False	False
PF00697	LUCA	False	False	False	False	False	False
PF00698	LBCA	False	False	False	False	False	False
PF00699	LBCA	False	False	False	False	False	False
PF00700	LBCA	False	False	False	False	False	False
PF00701	LUCA	False	False	False	False	False	False
PF00702	LUCA	False	False	False	False	False	False
PF00703	LUCA	False	False	False	False	False	False
PF00704	LBCA	False	False	False	False	False	False
PF00705	LACA	False	False	False	True	False	True
PF00707	unclassifiable	False	False	False	False	False	False
PF00708	LUCA	False	False	False	False	False	False
PF00709	LUCA	False	False	False	False	False	False
PF00710	LBCA	False	False	False	False	False	False
PF00712	unclassifiable	False	False	False	True	False	True
PF00717	LBCA	False	False	False	False	False	False
PF00719	unclassifiable	False	False	False	False	False	False
PF00720	Terrabacteria	False	False	False	False	False	False
PF00722	LBCA	False	False	False	False	False	False
PF00723	LBCA	False	False	False	False	False	False
PF00724	LUCA	False	False	False	False	False	False
PF00725	LUCA	False	False	False	False	False	False
PF00728	LBCA	False	False	False	False	False	False
PF00730	LUCA	False	False	False	False	False	False
PF00731	LUCA	False	False	False	False	False	False
PF00732	LBCA	False	False	False	False	False	False
PF00733	LUCA	False	False	False	False	False	False
PF00736	LACA	True	True	True	False	False	False
PF00737	Terrabacteria	False	False	False	False	False	False
PF00741	LBCA	False	False	False	False	False	False
PF00742	LUCA	False	False	False	False	False	False
PF00743	LBCA	False	False	False	False	False	False
PF00745	Inspect	False	False	False	False	False	False
PF00746	LBCA	False	False	False	False	False	False
PF00747		False	False	False	True	False	False
PF00749	LUCA	True	True	True	False	False	False
PF00750	LUCA	False	True	True	False	False	False
PF00751		False	False	False	True	False	False
PF00752	LACA	False	False	False	False	False	False
PF00753	LUCA	False	True	True	False	False	False
PF00754	LBCA	False	False	False	False	False	False
PF00755	post-LBCA	False	False	False	False	False	False
PF00756	LBCA	False	False	False	False	False	False
PF00759	LBCA	False	False	False	False	False	False
PF00760	Proteobacteria	False	False	False	False	False	False
PF00762	LBCA	False	False	False	False	False	False
PF00763	unclassifiable	False	False	False	False	False	False
PF00764	LUCA	False	False	False	False	False	False
PF00765	Proteobacteria	False	False	False	False	False	False
PF00766	LACA	False	False	False	False	False	False
PF00768	LBCA	False	False	False	False	False	False
PF00771	LBCA	False	False	False	False	False	False
PF00772	LBCA	False	False	False	False	False	False
PF00773	unclassifiable	True	True	True	False	False	True
PF00775	LBCA	False	False	False	False	False	False
PF00781	LBCA	False	False	False	False	False	False
PF00782	LUCA	False	False	False	False	False	False
PF00793	LBCA	False	False	False	False	False	False
PF00795	LUCA	False	False	False	False	False	False
PF00797	LBCA	False	False	False	False	False	False
PF00800	LUCA	False	False	False	False	False	False
PF00801	LBCA	False	False	False	False	False	False
PF00805	LBCA	False	False	False	False	False	False
PF00806		True	True	True	False	False	False
PF00808	LACA	False	False	False	False	False	False
PF00809	LUCA	False	False	False	False	False	False
PF00813	post-LBCA	False	False	False	False	False	False
PF00814	LBCA	False	False	False	False	False	False
PF00815	LBCA	False	False	False	False	False	False
PF00816	Proteobacteria	False	False	False	True	False	True
PF00817	LBCA	False	False	False	False	False	False
PF00821	LBCA	False	False	False	False	False	False
PF00823	Terrabacteria	False	False	False	False	False	False
PF00825	LBCA	True	True	True	False	False	False
PF00827	TACK	True	True	True	False	False	False
PF00828	Inspect	False	True	True	False	False	False
PF00829	post-LBCA	True	True	True	False	False	False
PF00830	LBCA	True	True	True	False	False	False
PF00831	LBCA	True	True	True	False	False	False
PF00832	LACA	True	True	True	False	False	False
PF00833	LACA	True	True	True	False	False	False
PF00834	LACA	False	False	False	False	False	False
PF00839	Proteobacteria	False	False	False	False	False	False
PF00841		False	False	False	True	False	False
PF00842	LBCA	False	False	False	False	False	False
PF00845		False	False	False	True	False	False
PF00847	LBCA	False	False	False	False	False	False
PF00848	Inspect	False	False	False	False	False	False
PF00849	LBCA	True	True	True	False	False	True
PF00850	LUCA	False	False	False	False	False	False
PF00852	LBCA	False	False	False	False	False	False
PF00853		False	False	False	True	False	True
PF00854	LBCA	False	False	False	False	False	False
PF00856	LBCA	False	False	False	False	False	False
PF00857	LUCA	False	False	False	False	False	False
PF00860	LBCA	False	False	False	False	False	False
PF00861	LBCA	True	True	True	False	False	False
PF00862	LBCA	False	False	False	False	False	False
PF00866	post-LBCA	False	False	False	False	False	False
PF00867	LACA	False	False	False	False	False	False
PF00870		False	False	False	True	False	False
PF00871	LBCA	False	False	False	False	False	False
PF00872	LBCA	False	False	False	True	False	True
PF00873	LBCA	False	False	False	False	False	False
PF00874	post-LBCA	False	False	False	False	False	False
PF00875	LUCA	False	False	False	False	False	False
PF00877	post-LBCA	False	False	False	False	False	False
PF00881	LUCA	False	False	False	False	False	False
PF00882	LBCA	False	False	False	False	False	False
PF00883	unclassifiable	False	False	False	False	False	False
PF00884	LUCA	False	False	False	False	False	False
PF00885	Inspect	False	False	False	False	False	False
PF00886	LBCA	True	True	True	False	False	False
PF00887	FCB	False	False	False	False	False	False
PF00889	LBCA	True	True	True	False	False	False
PF00890	LUCA	False	False	False	False	False	False
PF00891	LUCA	False	False	False	False	False	False
PF00892	LUCA	False	False	False	False	False	False
PF00893	LBCA	False	False	False	False	False	False
PF00899	preLUCA	False	False	False	False	False	False
PF00900	LACA	False	True	True	False	False	False
PF00902	LACA	False	False	False	False	False	False
PF00903	preLUCA	False	False	False	False	False	False
PF00905	LBCA	False	False	False	False	False	False
PF00908	LUCA	False	False	False	False	False	False
PF00909	LUCA	False	False	False	False	False	False
PF00910		True	True	True	False	False	True
PF00912	LBCA	False	False	False	False	False	False
PF00916	LBCA	False	False	False	False	False	False
PF00919	LBCA	False	False	False	False	False	False
PF00920	LUCA	False	False	False	False	False	False
PF00923	LBCA	False	False	False	False	False	False
PF00924	LUCA	False	False	False	False	False	False
PF00925	LBCA	False	False	False	False	False	False
PF00926	LACA	False	False	False	False	False	False
PF00929	LBCA	False	True	True	False	False	False
PF00930	LUCA	False	False	False	False	False	False
PF00931	LBCA	False	False	False	False	False	False
PF00932	LUCA	False	False	False	False	False	False
PF00933	LBCA	False	False	False	False	False	False
PF00934	Terrabacteria	False	False	False	False	False	False
PF00935	Euryarchaeota	True	True	True	False	False	False
PF00936	LBCA	False	False	False	False	False	False
PF00937		True	False	True	False	False	False
PF00939	LBCA	False	False	False	False	False	False
PF00940		False	True	True	False	False	False
PF00941	LBCA	False	False	False	False	False	False
PF00942	LBCA	False	False	False	False	False	False
PF00949		True	False	True	False	False	False
PF00950	LUCA	False	False	False	False	False	False
PF00953	LBCA	False	False	False	False	False	False
PF00958	LACA	False	False	False	False	False	False
PF00959	LBCA	False	False	False	False	False	False
PF00960	Terrabacteria	False	False	False	True	False	True
PF00961	Inspect	False	False	False	False	False	False
PF00962	LBCA	False	False	False	False	False	False
PF00963	LBCA	False	False	False	False	False	False
PF00970	LUCA	False	False	False	False	False	False
PF00975	LBCA	False	False	False	False	False	False
PF00977	LUCA	False	False	False	False	False	False
PF00978		True	True	True	False	False	False
PF00981		True	False	True	False	False	False
PF00982	LBCA	False	False	False	False	False	False
PF00984	LBCA	False	False	False	False	False	False
PF00986	post-LBCA	False	False	False	True	False	True
PF00988	post-LBCA	False	False	False	False	False	False
PF00989	preLUCA	False	False	False	False	False	False
PF00990	LBCA	False	False	False	False	False	False
PF00994	LUCA	False	False	False	False	False	False
PF00998		True	True	True	False	False	False
PF00999	LUCA	False	False	False	False	False	False
PF01000	Inspect	True	True	True	False	False	False
PF01005		True	False	True	False	False	False
PF01008	LACA	False	True	True	False	False	False
PF01010	LBCA	False	False	False	False	False	False
PF01011	LBCA	False	False	False	False	False	False
PF01012	LUCA	False	False	False	False	False	False
PF01014	LBCA	False	False	False	False	False	False
PF01015	LACA	True	True	True	False	False	False
PF01016	unclassifiable	True	True	True	False	False	False
PF01018	LBCA	False	False	False	False	False	False
PF01019	LBCA	False	False	False	False	False	False
PF01020	Euryarchaeota	True	True	True	False	False	False
PF01021		True	False	True	False	False	True
PF01022	LUCA	False	False	False	False	False	False
PF01025	LUCA	False	False	False	False	False	False
PF01026	LUCA	False	False	False	False	False	False
PF01027	LBCA	False	False	False	False	False	False
PF01028	LBCA	False	False	False	True	False	True
